,Number,Name,Latitude,Longitude,District,Public,Total docks
231,M32053,One Memorial Drive,42.36161932076685,-71.08043550520959,Cambridge,Yes,19
232,A32035,Orient Heights T Stop - Bennington St at Saratoga St,42.386781,-71.006098,Boston,Yes,19
233,S32009,Packard Ave at Powderhouse Blvd,42.40449,-71.123413,Somerville,Yes,15
234,A32012,Packard's Corner - Commonwealth Ave at Brighton Ave,42.352261,-71.12383100000001,Boston,Yes,27
235,A32008,Park Dr at Buswell St,42.347241,-71.105301,Boston,Yes,15
236,D32042,Park Plaza at Charles St S.,42.35182806892068,-71.06781138111728,Boston,Yes,19
237,C32039,Park St at Norwell St,42.2944167,-71.0783056,Boston,Yes,15
238,S32034,Perry Park,42.3792732460084,-71.10341902831351,Somerville,Yes,19
239,A32029,Piers Park,42.364892932664795,-71.03497177362442,Boston,Yes,0
240,M32029,Porter Square Station,42.387995000000004,-71.119084,Cambridge,Yes,19
241,D32012,Post Office Square,42.355854355220046,-71.05459745998813,Boston,Yes,19
242,S32008,Powder House Circle - Nathan Tufts Park,42.400877,-71.116772,Somerville,Yes,13
243,C32007,Prudential Center - Belvedere St,42.346520039984114,-71.08065776545118,Boston,Yes,18
244,A32026,Purchase St at Pearl St,42.354659000000005,-71.05318100000001,Boston,Yes,19
245,M32036,Rindge Avenue - O'Neill Library,42.392765999999995,-71.129042,Cambridge,Yes,19
246,C32058,Ring Rd,42.34827838542626,-71.08044855314802,Boston,Yes,15
247,M32035,Rogers St & Land Blvd,42.36575798214837,-71.07699394226073,Cambridge,Yes,19
248,C32047,Roslindale Village - South St,42.287071999999995,-71.12775400000001,Boston,Yes,15
249,C32046,Roslindale Village - Washington St,42.28630716010807,-71.12820532182013,Boston,Yes,15
250,D32008,Rowes Wharf at Atlantic Ave,42.357143,-71.050699,Boston,Yes,15
251,C32001,Roxbury Crossing T Stop - Columbus Ave at Tremont St,42.331184,-71.095171,Boston,Yes,23
252,B32022,Roxbury YMCA - Warren St at MLK Blvd,42.317873293456024,-71.08243077993394,Boston,Yes,10
253,B32002,Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,42.33624444796878,-71.08798563480376,Boston,Yes,18
254,C32031,Ryan Playground - Dorchester Ave at Harbor View St,42.317642,-71.056664,Boston,Yes,15
255,E32007,S Huntington Ave at Heath St,42.327603870405724,-71.11089169979095,Boston,Yes,15
256,C32033,Savin Hill T Stop - S Sydney St at Bay St,42.3106,-71.0539,Boston,Yes,14
257,C32036,Seaport Blvd at Sleeper St,42.353178091862524,-71.04817356923377,Boston,Yes,15
258,B32014,Seaport Hotel - Congress St at Seaport Ln,42.34881026188269,-71.04167744055303,Boston,Yes,19
259,B32007,Seaport Square - Seaport Blvd at Northern Ave,42.35148193460858,-71.04436084628105,Boston,Yes,19
260,M32063,Sennott Park  Broadway at Norfolk Street,42.36860524248197,-71.09930185605663,Cambridge,Yes,19
261,D32048,Shawmut Ave at Oak St W,42.348545434111976,-71.06559185315746,Boston,Yes,15
262,E32009,Shawmut T Stop,42.292916999999996,-71.06575,Boston,Yes,18
263,M32047,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960631,Cambridge,Yes,19
264,D32032,Silber Way,42.349495995140025,-71.10057592391969,Boston,Yes,19
265,A32006,Soldiers Field Park - 111 Western Ave,42.36426344063853,-71.1182756971175,Boston,Yes,15
266,S32001,Somerville City Hall,42.386844,-71.09812,Somerville,Yes,15
267,S32036,Somerville City Hall Annex,42.39189811591863,-71.09745375830244,Somerville,Yes,15
268,S32020,Somerville Hospital,42.390888017213385,-71.10962569713591,Somerville,Yes,15
269,C32017,South Boston Library - 646 E Broadway,42.335741,-71.03877,Boston,Yes,15
270,A32009,South End Library - Tremont St at W Newton St,42.341332,-71.076847,Boston,Yes,15
271,A32010,South Station - 700 Atlantic Ave,42.352175,-71.055547,Boston,Yes,47
272,D32023,Spaulding Rehabilitation Hospital - Charlestown Navy Yard,42.378338,-71.048927,Boston,Yes,19
273,C32087,Spring St at Powell St,42.277484442008216,-71.16341467955863,Boston,Yes,19
274,K32007,St Mary's,42.346197076555455,-71.10728681087494,Brookline,Yes,15
275,C32024,State Street at Channel Center,42.344136999999996,-71.05260799999999,Boston,Yes,19
276,D32041,Stony Brook T Stop,42.316966,-71.10437399999999,Boston,Yes,15
277,D32049,Stuart St at Berkeley St,42.34954403114251,-71.07242073872841,Boston,Yes,19
278,D32011,Stuart St at Charles St,42.351146,-71.066289,Boston,Yes,18
279,D32053,Sullivan Square,42.384452256358436,-71.07514854529654,Boston,Yes,19
280,A32013,Surface Rd at India St,42.358155,-71.05216300000001,Boston,Yes,19
281,A32042,Surface Rd at Summer St,42.35294569782582,-71.05656400803126,Boston,Yes,27
282,C32064,Sydney St at Carson St,42.32039374304257,-71.05355408051764,Boston,Yes,19
283,C32043,Talbot Ave At Blue Hill Ave,42.2945833,-71.087111,Boston,Yes,15
284,K32008,Tappan St at Brookline Hills MBTA,42.332096063019364,-71.12845882773401,Brookline,Yes,15
285,S32011,Teele Square,42.40203828065014,-71.12653291489549,Somerville,Yes,15
286,E32011,The Dimock Center,42.3193094317828,-71.09639923859504,Boston,Yes,16
287,A32033,The Eddy - New St at Sumner St,42.370744,-71.044201,Boston,Yes,15
288,C32028,The Lawn on D,42.344792,-71.044024,Boston,Yes,19
289,C32049,Thetford Ave at Norfolk St,42.286212948246096,-71.07942931372236,Boston,Yes,15
290,M32048,Third at Binney,42.365444861373994,-71.0827714204788,Cambridge,Yes,15
291,C32000,Tremont St at E Berkeley St,42.345392,-71.069616,Boston,Yes,19
292,B32056,Tremont St at Hamilton Pl,42.35668334969929,-71.06166645884514,Boston,Yes,19
293,C32056,Tremont St at Northampton St,42.33889559644165,-71.08149975611012,Boston,Yes,19
294,C32060,Tremont St at W. Dedham St,42.34254913737952,-71.07421449387857,Boston,Yes,15
295,D32014,Tremont St at West St,42.354979,-71.063348,Boston,Yes,15
296,C32035,Troy Boston,42.343749,-71.062256,Boston,Yes,14
297,A32001,Union Square - Brighton Ave at Cambridge St,42.353334000000004,-71.137313,Boston,Yes,19
